tt6491178	2018	加拿大	7.1	6.7	高壓制裁	Dragged Across Concrete	逃出水泥地／黑吃黑	劇情|動作|驚悚|犯罪	tt6491178	db_26966758	Movie\2018\[2018][加]高壓制裁 Dragged Across Concrete(劇情_動作_驚悚_犯罪)(7.1)(tt6491178)
tt6820256	2018	冰島	6.9	6.9	北極	Arctic		劇情|冒險	tt6820256	db_27036483	Movie\2018\[2018][冰島]北極 Arctic(劇情_冒險)(6.9)(tt6820256)
tt4971344	2018	法國	7.0	7.7	希斯特斯兄弟	The Sisters Brothers	Les Frères Sisters／姐妹兄弟／淘金殺手	犯罪|西部|冒險	tt4971344	db_26600786	Movie\2018\[2018][法]希斯特斯兄弟 The Sisters Brothers(犯罪_西部_冒險)(7.0)(tt4971344)
tt6288124	2018	法國	6.9	5.9	笑畫人生	Don't Worry He Won't Get Far on Foot	別擔心，他不會走遠的／別急，他不會走很遠的／別急，他的腳走不了／近人勿念	劇情|傳記	tt6288124	db_26925164	Movie\2018\[2018][法]笑畫人生 Don't Worry, He Won't Get Far on Foot(劇情_傳記)(6.9)(tt6288124)
tt2709692	2018	法國	6.3	6.2	鬼靈精	The Grinch	綠毛怪格林奇／Dr. Seuss’ The Grinch／Dr. Suess‘ How the Grinch Stole Christmas／聖誕怪怪傑(港)／聖誕怪傑／蘇斯博士的聖誕怪傑	喜劇|動畫|奇幻	tt2709692	db_23774869	Movie\2018\[2018][法]鬼靈精 The Grinch(喜劇_動畫_奇幻)(6.3)(tt2709692)
tt1517451	2018	美國	7.8	7.2	一個巨星的誕生	A Star Is Born	一個明星的誕生／星夢情深(港)	劇情|愛情|音樂	tt1517451	db_4058933	Movie\2018\[2018][美]一個巨星的誕生 A Star Is Born(劇情_愛情_音樂)(7.8)(tt1517451)
tt1677720	2018	美國	7.5	8.7	一級玩家	Ready Player One	頭號玩家／一號玩家／挑戰者1號(港)／玩家一號	動作|科幻|冒險	tt1677720	db_4920389	Movie\2018\[2018][美]一級玩家 Ready Player One(動作_科幻_冒險)(7.5)(tt1677720)
tt7668870	2018	美國	7.7	8.6	人肉搜尋	Searching	網路謎蹤／人肉搜尋(港)／螢幕搜尋／搜尋	劇情|懸疑|驚悚|犯罪	tt7668870	db_27615441	Movie\2018\[2018][美]人肉搜尋 Searching(劇情_懸疑_驚悚_犯罪)(7.7)(tt7668870)
tt4912910	2018	美國	7.8	8.1	不可能的任務：全面瓦解	Mission：Impossible - Fallout	碟中諜6：全面瓦解／MI6／Mission: Impossible 6／碟中諜6／職業特工隊：叛逆之謎(港)	動作|驚悚|冒險	tt4912910	db_26336252	Movie\2018\[2018][美]不可能的任務：全面瓦解 Mission：Impossible - Fallout(動作_驚悚_冒險)(7.8)(tt4912910)
tt4779682	2018	美國	5.7	5.7	巨齒鯊	The Meg	極悍巨鯊(港)／麥格	動作|科幻|驚悚	tt4779682	db_26426194	Movie\2018\[2018][美]巨齒鯊 The Meg(動作_科幻_驚悚)(5.7)(tt4779682)
